256 0.1071 16943562 17224 0.0637637 2190987 25448
272 0.0983883 20703295 19342 0.0772717 2619042 28624
288 0.118611 25463084 21588 0.0891553 3106199 31992
304 0.132831 31470937 23962 0.104121 3647881 35552
320 0.173258 33914654 26464 0.120907 4242117 39304
336 0.177587 42572973 29094 0.138906 4907275 43248
352 0.211646 46528739 31852 0.159399 5629874 47384
368 0.239444 56022515 34739 0.184247 6427681 51712
384 0.36023 57649276 37753 0.204736 7285678 56233
400 0.307063 72043215 40897 0.233776 8233746 60945
416 0.35727 76843966 44167 0.261735 9246435 65852
432 0.387063 90842444 47565 0.292698 10349866 70948
448 0.56678 93064099 51091 0.34111 11522730 76236
464 0.5189 112669307 54745 0.374027 12800751 81716
480 0.58743 118097684 58527 0.399773 14152498 87388
496 0.58964 137739951 62437 0.44299 15610947 93252
512 0.885567 134877105 66475 0.48774 17142326 99308
